Precio,Expensas,Direccion,Ambientes,Tipo,Url,Descripcion
325000,25000,"16 n° 15, e/ 32 y 33 Dpto. 8    ", 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486189,"Departamento interno, de un dormitorio con cochera, amplio y luminoso. Alberto Dacal Propiedades: Código de la propiedad Argentina | G.B..."
330000,67500,26  N°1681 e/ 66 y 67   , 1 Dorm,"Departamento en   Parque Castelli, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486715,Departamento en la segunda torre al frente del parque Castelli. Estar comedor Cocina -Baño completo Un dormitorio con placards. -Sin cochera ...
330000,,18  e/ 53 y 54   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489177,"Departamento Contrafrente de 1 Dormitorio con Placard y piso flotante, Estar comedor con salida al Balcon, Baño completo y Cocina separada."
330000,30000,6  e/ 48 y 49   , 1 Dorm,"Departamento en   Plaza San Martín, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484999,Departamento de un dormitorio con Placard y pisos de parquet. Living comedor. Cocina separada. Lavadero cubierto. Baño completo. Muy luminoso
330000,,Calle 56  833 1 entre 11 y 12    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-482877,"Departamento en Alquiler en La Plata, con muy buena ubicación calle 56 entre 11 y 12. Departamento ubicado en primer piso al frente, consta cocina..."
330000,80000,14  N°1669 e/ 66 y 67   , 1 Dorm,"Departamento en   Parque Saavedra, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-485488,"Frente al parque saavedra , muy luminoso balcon ,baño completo excelente estado."
330000,32000,43  e/ 4 y 5   , Monoamb,"Departamento en   Plaza San Martín, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-339416,"43 e/ 4 y 5 piso 7° D. EL VALOR DE ALQUILER INCLUYE EL AGUA. $9620 DESCRIPCION: DEPARTAMENTO MONOAMBIENTE,CON PLACARD EMBUTIDO EN PARED Y COCINA INTEGRA..."
330000,39000,65  N°512 e/ 5 y 6   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-446004,"Departamento en alquiler, Ubicado en calle 65 e 5 y 6 piso 5, El departamento posee cocina separada, Living-comedor, un dormitorio con balcon, baño y anteb..."
330000,24000,12  e/ 69 y 70   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-446007,"Departamento tipo Loft ubicado en calle 12 e 69 y 70. El departamento posee living-comedor, cocina integrada, baño y antebaño, dormitorio en entrepiso, es..."
330000,,44  e/ 8 y y 9   , 1 Dorm,"Departamento en   Centro calle 8, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-481541,"OPORTUNIDAD!!! SE ALQUUILA DEPTO DE UN DORMITORIO EN PLENO CENTRO DE LA CIUDAD, SOBRE AVENIDA 44 , cocina separada, piso de parquet en comedor, baño comple..."
330000,75000,36  e/ 7 y 8   , 1 Dorm,"Departamento en   Barrio Norte, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-481847,"Departamento de un dormitorio con cochera optativa, cocina separada living comedor y balcón, baño completo, super luminoso."
330000,,74  e/ 14 y 15   , 1 Dorm,"Departamento en   Altos de San Lorenzo, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483618,"Buen departamento de un dormitorio al frente en la localidad de Altos de San Lorenzo. Posee 50 m2, un dormitorio con placard, living comedor, cocina, baño,..."
330000,40000,61  e/ 2 y 3   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484641,"Departamento zona universitaria, amplio, 1 dormitorio con placard, baño completo con bañera, 2do piso al frente. impecable."
330000,,43  e/ 13 y 14   , Monoamb,"Departamento en   Plaza Paso, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484860,"Monoambiente en increible estado, cocina equipada con guardado bajo mesada, 1 baño completo, , livingcomedor y exelente ubicación!"
330000,70000,53  N°754 e/ 10 y 11   , 1 Dorm,"Departamento en   Plaza Moreno, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484861,"Lindo departamento, externo muy luminoso, buen living comedor, cocina instalada, 1 dormitorio alfombrado con placard, baño completo, placard en el paso, la..."
330000,,62  e/ 116 y 117   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487310,"Excelente depto zona de estudiantes 1 dorm con placard, 1er piso por escalera al frente, baño completo, contrato 24 meses con aumento cuatrimestral por IPC..."
330000,,5  y 44    , Monoamb,"Departamento en   Plaza Italia, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487392,EN LA CIUDAD DE LA PLATA!!!!! ALQUILANÓS En zona céntrica (5 y 44) departamentos tipo mono-ambiente o con un dormi...
330000,,84  e/ 26 y 27   , 1 Dorm,"Departamento en   Altos de San Lorenzo, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487962,"Ph de un dormitorio con living comedor con cocina integrada y posibilidad de dividir segundo dormitorio, dormitorio con placard e interior, patio con verd..."
330000,60000,44  N°677 e/ 8 y 9   , 1 Dorm,"Departamento en   Plaza Italia, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488103,"Departamento de un dormitorio , excelente ubicación. Torre 2 . Contrato 24 meses ajuste cuatrimestral índice BCRA. Tasa Municipal bimestral y expensas ordi..."
Consulte,,43  y 12    , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-368094,"Departamento de 2 dormitorios. Posee living, cocina, baño completo y amplio balcón. Primer piso. Equipamiento eléctrico. Apto uso profesional."
330000,19000,1  N°817 e/ 48 y 49   , 1 Dorm,"Departamento en   Zona Universidades Bosque, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-362927,"Excelente departamento al frente con balcón, un dormitorio con placard. Bajas expensas, excelente estado, muy luminoso!"
330000,40000,2  e/ 64 y 65   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-317694,"AL FRENTE Y CONTRAFRENTE, CONSTA DE LIVING, COCINA SEPARADA MUEBLES BAJO Y SOBRE MESADA. CON LAVADERO INCORPORADO. BAÑO COMPLETO . AMPLIO DORMITORIO CON ..."
330000,40000,61  N°313 e/ 1 y 2   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-160003,DEPARTAMENTO AMPLIO IMPECABLE REESTRENAR CONSULTE CONDICIONES/RESTRICCIONES . MUY LUMINOSO Y VENTILADO .. 1 DORMITORIO CON PLACARD EMPOTRADO. BAÑO COMPLETO...
330000,17000,16  e/ 59 y 60   , Monoamb,"Departamento en   Centro calle 12, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-217888,"Excelente monoambiente en alquiler con clausula de venta. Ubicado en el piso 1ero al frente. Cuenta con artefacto de Cocina, cocina 4 hornallas impecable m..."
30000,30000,55  e/ 1 y 2   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-115878,"**** ZONA FACULTADES IDEAL ESTUDIANTES **** Posee un dormitorio amplio con placard, estar comedor, baño completo, cocina separada y lavadero."
340000,,6  y 63    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487291,"Departamento al Frente de 1 Dormitorio con Placard, Estar Comedor, Cocina Separada y Baño Completo."
340000,,2  e/ 40 y 41   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488871,"Departamento de un dormitorio con Placard, cocina separada, lavadero incorporado, Living-comedor con balcón al frente, Baño completo. En Planta baja, el ed..."
340000,,57  e/ 11 y 12   , 1 Dorm,"Departamento en   Plaza Moreno, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488586,Excelente departamento de un dormitorio con Placard. Living comedor con balcón. Cocina semi integrada. Lavadero incorporado. Baño completo. Muy luminoso
340000,10000,67  e/ 10 y 11   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489254,"Alquilo departamento ubicado en planta baja al frente, 1 habitación, comedor, cocina, baño, patio amplio y entrada para auto descubierta."
340000,72000,49 n° 885 Depto 12b  e/  12 y 13    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486169,"Semi piso de un dormitorio, amplio y luminoso, al frente con excelente vista a Plaza Moreno, y vista al contrafrente desde la cocina-comedor, lavadero sepa..."
340000,25000,63  N°111 e/ 117 y 118   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-388222,Alquilo dpto de 1 dormitorio. Muy luminoso. Cerca de las facultades.
340000,,19  y 529    , 2 Dorm,"Departamento en   Tolosa, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-451231,Departamento en ALQUILER Dos dormitorios y Patio calle 19 y 529 55 m2 cubiertos Contrato por 24 Meses. Cocina separada estar comedor baño y cocina...
340000,25000,63  N°111 e/ 117 y 118   , 1 Dorm,"Departamento en   Zona Universidades Bosque, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-462120,"Alquilo departamento de 1 dormitorio con placard, comedor, cocina separada y COCHERA descubierta."
340000,20000,68  N°419 e/ 3 y 4   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-478132,"Departamento 1 Dormitorio (con placard) interno, 2° piso por escalera. Cocina-comedor, baño. Contrato por dos años, trimestrales por IPC"
340000,,57  e/ 7 y 8   , 1 Dorm,"Departamento en   Centro calle 8, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-485003,"OPORTUNIDAD!!! DEPARTAMENTO A METROS DE LA AVENIDA 7 , SOBRE CALLE 57 ! ESTAR COMEDOR, COCINA SEPARADA, LAVADERO CUBIERTO! DORMITORIO EN SUITE CON ANTEBA..."
340000,40000,66  e/ 29 y 30   , 1 Dorm,"Departamento en   Parque Castelli, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486089,"DISPONIBLE A PARTIR DE DICIEMBRE 2024. Excelente depto de un dormitorio en primer piso al frente, cocina separada, amplio living-comedor con balcon. Alqu..."
340000,30000,Diagonal 73  y 12    , 1 Dorm,"Departamento en   Centro calle 12, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487784,"Departamento frente a Plaza Moreno. Excelente ubicación. 1 dormitorio con placard, living comedor, cocina seprada y baño completo. Alquiler $ 340.000, Expe..."
340000,,6  e/ 65 y 66   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488198,"EXCELENTE DEPARTAMENTO EN ALQUILER UBICADO A POCAS CUADRAS DE PARQUE SAAVEDRA, PLAZA ROCHA, HOSPITAL SAN MARTIN CUENTA CON UN DORMITORIO CON PLACARD, PIS..."
111,111,23  N°333 e/ 38 y 39   , 1 Dorm,"Departamento en   La Loma, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488507,"23 Y 38 Alquiler departamento Edif. Mod (4to piso fte) living comedor con balcon, cocina separada y lavadero incorporado, dormitorio con placard, baño com..."
340000,,69  e/ 15 y 16   , 1 Dorm,"PH en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488956,69 P.B. INTERNO e/ 15 y 16 P.B c. PLANTA BAJA INTERNO CON PATIO AMPLIO SIN EXPENSAS!!!!! PATIO AMPLIO DE 6 X 4... cocina comedor amplia con muebles de ba...
340000,,9  e/ 58 y 59   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-311750,"Excelente departamento en zona céntrica tipo Duplex. Segundo piso por escalera, dormitorio en planta alta, balcón, cocina integrada, baño. Aire acondicion..."
340000,6000,35  e/ 26 y 27   , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-164138,*Encantador Departamento en Calle 35 e/ 26 y 27* ¡No pierdas la oportunidad de conocer este hermoso departamento por pasillo al fond...
345000,120000,8  N°397 e/ 39 y 40 a estrenar    , 1 Dorm,"Departamento en   Centro calle 8, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-384618,"Dpto al frente, 1 Dormitorio amplio con calefacción, cocina comedor, baño completo y balcón con excelente vista. Muy luminoso. Servicio eléctrico y agua ..."
345000,65000,Diagonal 96  N°38 e/ Plaza 19 de Noviembre y 24   , 1 Dorm,"Departamento en   Plaza 19 de noviembre, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-454845,"Alquiler de Departamento 2 AMBIENTES, La Plata Alquilamos departamento de 1 dormitorio, en Diagonal 96, a metros de plaza 19 de noviembre (25 y 44). ..."
350000,112000,35  N°767 e/ 10 y 11   , 1 Dorm,"Departamento en   Barrio Norte, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-482404,Zona norte a 100 mts del Hospital Español. Departamento con cochera descubierta. Son dos torres. Este departamento se encuentra en la primera torre 1 al...
350000,,74  e/ 14 y 15   , 2 Dorm,"Departamento en   Altos de San Lorenzo, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483621,"Departamento de dos dormitorios al frente en la localidad de Altos de San Lorenzo. Posee 43 m2, un dormitorio con balcón y placard, living comedor, cocina ..."
350000,10000,13  e/ 608 y 609   , 2 Dorm,"Duplex en   Villa Elvira, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483867,"Alquilo dúplex 2 dormitorios, cocina comedor, baño, toilette y patio. Servicios Agua corriente y energía eléctrica."
350000,9000,dg 74  N°1050 e/ 5 y 6   , 1 Dorm,"Departamento en   Plaza Italia, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-483930,"Departamento en planta baja interno compuesto de: Living comedor cocina, con artefacto de cocina, mueble bajo mesada, mesada con pileta, termotanque, baño..."
350000,,63  e/ 18 y 19   , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-484569,"Departamento tipo dúplex. Este departamento es interno,se accede a través de un pasillo cubierto. El edificio está compuesto únicamente por 4 unidades func..."
350000,,15  N°2023 e/ 73 y 74   , 3 Dorm,"Departamento en   Altos de San Lorenzo, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-485104,DEPTO PLANTA ALTA FRENTE 1er Piso CONTRATO DE LOCACION 24 MESES Con AJUSTES CUATRIMESTRALES Índice ICL Mas ABSA APR (bimestral)
350000,10000,142  N°1386 e/ 60 y 61   , 2 Dorm,"Departamento en   Los Hornos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486379,"Alquilamos departamento en Los Hornos, 2 dormitorios, balcón y cochera. Este departamento en planta alta te ofrece: Living-comedor luminoso con salida a ..."
27000,27000,diagonal 77  N°272 e/ 3 y 4   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486744,"Departamento de un dormitorio con placard, cocina comedor, balcón al frente. Expensas $ 27.000 Zona ideal para estudiante"
350000,,134  e/ 530 y 531   , 2 Dorm,"Departamento en   San Carlos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486931,"134 e/ 530 y 531 dto en planta alta de 2 dormitorios, cocina comedor, living, baño completo y terraza amplia con lavadero semi cubierto."
350000,25000,56  e/ 11 y 12   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-486943,"WAINGORTIN SERVICIOS INMOBILIARIOS ALQUILA! DEPARTAMENTO EN PLANTA BAJA DE 1 DORMITORIO CON PLACARD + 2DO DORMITORIO CHICO O ESTUDIO. LIVING COMEDOR, CO..."
350000,40000,7  e/ 68 y 69   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487677,Una habitación con placard. Baño completo. Living comedor separado con barra. Cocina. Cochera.
350000,47500,115  y 46    , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487884,"Este departamento se encuentra un cálido complejo en zona universitaria, sobre la calle 115 y en su intersección con calle 46. Esta ubicado en un primer p..."
350000,,71  e/ 9 y 10   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487932,"Departamento antiguo interno planta baja por pasillo. un dormitorio con pisos de parquet y placard, living-comedor con cocina integrada, baño completo, pat..."
350000,,36  e/ 21 y 22   , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-487948,DEPTO PB 2 DORM EN ALQUILER ubicado en 36 E/ 21 Y 22 65 mts2 aprox. Cocina separada amplio liv...
350000,,519  N°4248 e/ 137 y 138   , 2 Dorm,"Departamento en   José Hernández, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488143,"Nueva, primer piso por escalera, living-comedor con cocina incorporada, con muebles sobre y bajo mesada. 2 dormitorios 1 con placard, baño completo con du..."
350000,,135  e/ 531 y 532   , 1 Dorm,"Departamento en   San Carlos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488184,"Departamento en 2da torre al frente, 1er piso por escalera, 1 Dormitorio con placard, cocina comedor, baño completo con ante baño, balcón corrido y cochera..."
350000,53000,40  N°876 e/ 12 y 13   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488265,DEPARTAMENTO DE UN DORMITORIO EN ALQUILER EXCELENTE ZONA UBICADO FRENTE A LA PLAZA BELGRANO UN DORMITORIO CON PLACARD EMPOTRADO BAÑO COMPLETO COC...
350000,7000,20  e/ Diag 74 y 62   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488449,"Departamento al frente con amplio balcón, un dormitorio con placard, living-comedor amplio con aire acondicionado, cocina con bajo mesada, baño completo. I..."
350000,18500,45  e/ 6 y 7   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488674,Monoambiente en inmejorable ubicación Céntrico en 7mo piso con cocina separada y baño completo. Se puede alquilar amoblado o sin muebles. Excelente...
350000,,520  e/ 145 y 146   , 2 Dorm,"Departamento en   San Carlos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488855,"Departamento ubicado en 520 e/ 145 y 146 al frente, muy luminoso y entrada por escaleras. Cuenta con dos dormitorios con placard, un baño completo, cocina ..."
350000,,3  e/ 67 y 68   , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-488950,"Departamento en PB por pasillo (depto 1) Recientemente reacondicionado Dos dormitorios, uno amplio y otro pequeño Cocina comedor Amplio patio SIN E..."
350000,49000,61  e/ 3 y 4   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489154,DEPARTAMENTO DE UN DORMITORIO EN ALQUILER EXCELENTE ZONA AMPLIO LIVING COMEDOR BALCÓN COCINA SEPARADA CONEXIÓN PARA LAVARROPAS BAÑO COMPLETO ...
350000,22150,14  e/ 58 y 59   , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489163,DEPARTAMENTO DE DOS DORMITORIOS EXCELENTE UBICACIÓN CENTRO CALLE 12 Y PLAZA MORENO COCINA COMEDOR LIVING BAÑO COMPLETO DOS DORMITORIOS CON PLAC...
350000,,4  N°1650 y 66    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489183,"Amplio Departamento de 1 Dormitorio (con placard) al frente, 2° piso por ascensor. Cocina independiente totalmente amoblada, living-comedor con vista a ca..."
350000,64000,39  N°712 e/ 9 y 10   , 1 Dorm,"Departamento en   Plaza Olazabal, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489287,"-EXCELENTE DEPARTAMENTO EN ALQUILER- -CONTRAFRENTECOCINA CON AMOBLAMIENTO BAJO MESADA Y ALACENA LAVADERO INCORPORADO- -ESTAR COMEDOR, TODO EN UN ..."
350000,52000,50  N°470 1/2 e/ 4 y 5   , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489309,"Excelente monoambiente luminoso con placard, cocina integrada con pasaplatos y baño completo. Tiene aire acondicionado."
350000,,5  e/ 61 y 62   , 1 Dorm,"Departamento en   Plaza Paso, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489435,
350000,50000,6  e/ 48 y 49   , 1 Dorm,"Departamento en   Zona Universidades Centro, La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-489272,Departamento de 1 dormitorios en excelente estado y muy bien ubicado
350000,50000,42  e/ 7 y 8   , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-214270,"Excelente departamento de un dormitorio con placard, frente y contrafrente. Cocina separada con barra pasaplatos, pisos de madera. Las expensas incluyen A..."
350000,50000,57 E/ 3 y diag. 79 N° 419 - 2°C    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-327566,"Departamento de un dormitorio en zona ideal para estudiantes. Cocina separada, espacio dedicado para lavadero, dormitorio con placard. CONSULTE.-DISPONIB..."
350000,40000,2 al 1377 1b 3/ 60 y 61    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-329783,"Departamento de 1 dormitorio con placard, baño completo, cocina semi integrada y living comedor. lavadero separado.DISPONIBLE, CFONSULTE.-Nota: ..."
350000,30000,2 n° 825 Depto 5c  e/  48 y 49    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-337130,"CONTRAFRENTE, RECICLADO, MUY LUMINOSO.Alberto Dacal Propiedades: Código de la propiedad Argentina | G.B.A. Zona Sur | La Plata | La Plata"
350000,50000,14 n° 78 Depto 3b  e/  33 y 34    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-357142,AMPLIO LIVING COMEDOR. BAÑO COMPLETO. COCHERA SEMICUBIERTA. 1er CUERPO PISO 3 CONTRAFRENTE.Alberto Dacal Propiedades: Código de la propieda...
350000,180000,7 e/ 62 y 63 n 1463 Piso 5 Dto b    , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-371106,"Departamento en alquiler. 2 dormitorios sin placard, cocina con muebles bajo y sobre mesada, conexión para lavarropas, amplio living-comedor con air..."
350000,105000,44 esq 14 N° 949 -4a    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-374840,"Departamento en edifcio Buildng de categoria , posee 1 dormitorio c/ placard, pisos de madera ,baño completo,.Cocina semi-integrada. CONSULTE.-..."
350000,45000,38 n° 1125 Depto 2a  e/  17 y 18    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-377726,AL FRENTE MUY LUMINOSO.Alberto Dacal Propiedades: Código de la propiedad Argentina | G.B.A. Zona Sur | La Plata | La Plata
350000,60000,48 n° 704 e/ 9 y 10 Depto 8c    , 2 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-391505,AMPLIO Y LUMINOSO DEPARTAMENTO CÉNTRICO. . AIRE ACONDICIONADO Y TIRO BALANCEADO EN LIVING. COCINA INDEPENDIENTE CON MUEBLE SOBRE Y BAJO MESADA. PIS...
350000,,Calle 15 entre 40 y 41 al 400    , Monoamb,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-428678,Monoambiente EN ALQUILER calle 15 e/ 40 y 414to piso al CONTRAFRENTEA estrenar. Listo para habitar Carpinterías de aluminio negro con vidrio ...
350000,30762,60 Nro. 327 entre 1 y 2 (pb C)    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-450834,"Departamento de 1 dormitorio en planta baja.Cuenta con living, cocina separada, dormitorio, baño y patio con lavadero.Expensas aproximadas $ 30.76..."
350000,50000,523 y 29 (torre 27 pb°3)    , 2 Dorm,"Departamento en   Tolosa, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-470900,"Departamento de 2 dormitorios en Planta Baja.Cuenta con living comedor con balcon, cocina separada, dos dormitorios con placard, baño completo.Exp..."
350000,87400,7 entre 63 y 64 1538 6 a    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-472921,"DISPONIBLE PARA ENERO 2025DEPARTAMENTO DE UN DORMITORIO AL FRENTE CON AMPLIO BALCON, COCINA INTEGRADA CON BARRA DESAYUNADORA,BAÑO COMPLETO, HABITAC..."
350000,5000,4 N° 863 E/ 49 y 50 dpto. 1a    , 1 Dorm,"Departamento en   La Plata (Casco Urbano), Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-474260,"Departamento de un dormitorio, primer piso por escalera,, terraza compartida.Alberto Dacal Propiedades: Código de la propiedad Argentina | G..."
350000,,132 n° 1338&half; Depto 11  e/  59 y 60    , 2 Dorm,"Departamento en   Los Hornos, Pdo. de La Plata  ",https://www.inmobusqueda.com.ar/ficha-476394,DEPARTAMENTO EN PLANTA ALTA AL FRENTE. PATIO CON PARRILLA. AMBLIENTES AMPLIOS Y LUMINOSOS. IMPECABLE ESTADO SOLO 10 AÑOS DE ANTIGUEDAD. A...
